timestamp,price,fee_zar,lp_zar,lp_usdc,lp_value_zar
2025-05-30 15:00:00,18.21,0.0,6819.735302209004,415.0462517614823,14377.727546785598
2025-05-30 16:00:00,18.2,0.11507755584662287,6858.105024281763,412.9386042185039,14373.587621058534
2025-05-30 17:00:00,18.17,0.345232484982546,6973.277480778828,406.60522529752524,14361.294424434862
2025-05-30 18:00:00,18.15,0.23037650573058974,7050.111947441287,402.37425182221597,14353.204618014506
2025-05-30 19:00:00,18.16,0.11529931592054397,7011.689425393709,404.49061224660187,14357.238943792
2025-05-30 20:00:00,18.18,0.23056682091702538,6934.876104865819,408.7180933781938,14365.371042481383
2025-05-30 21:00:00,18.18,0.0,6934.876104865819,408.7180933781938,14365.371042481383
2025-05-30 22:00:00,18.2,0.23043989188092903,6858.105024281763,412.9386042185039,14373.587621058534
2025-05-30 23:00:00,18.19,0.1151091575293584,6896.485288935722,410.82921888719807,14369.468780493855
2025-05-31 00:00:00,18.21,0.230376505922149,6819.735302209004,415.0462517614823,14377.727546785598
2025-05-31 01:00:00,18.21,0.0,6819.735302209004,415.0462517614823,14377.727546785598
2025-05-31 02:00:00,18.21,0.0,6819.735302209004,415.0462517614823,14377.727546785598
2025-05-31 03:00:00,18.21,0.0,6819.735302209004,415.0462517614823,14377.727546785598
2025-05-31 04:00:00,18.22,0.1151091575412603,6781.376114034457,417.1521639009126,14381.888540309084
2025-05-31 05:00:00,18.24,0.23018666142108946,6704.689304707591,421.35879148536236,14390.273661400599
2025-05-31 06:00:00,18.22,0.22993426376602247,6781.376114034457,417.1521639009126,14381.888540309084
2025-05-31 07:00:00,18.24,0.23018666142108946,6704.689304707591,421.35879148536236,14390.273661400599
2025-05-31 08:00:00,18.27,0.34513775918663353,6589.737878563223,427.6557766921975,14403.00891872967
2025-05-31 09:00:00,18.28,0.11491993693016178,6551.441712100895,429.7513262350524,14407.295955677651
2025-05-31 10:00:00,18.26,0.22968269473850314,6628.044527075221,425.55850595870146,14398.74284588111
2025-05-31 11:00:00,18.25,0.11491993691841693,6666.361666248828,423.45951167708654,14394.497754355658
2025-05-31 12:00:00,18.2,0.574441547238613,6858.105024281763,412.9386042185039,14373.587621058534
2025-05-31 13:00:00,18.2,0.0,6858.105024281763,412.9386042185039,14373.587621058534
2025-05-31 14:00:00,18.18,0.23018666123051043,6934.876104865819,408.7180933781938,14365.371042481383
2025-05-31 15:00:00,18.2,0.23043989188092903,6858.105024281763,412.9386042185039,14373.587621058534
2025-05-31 16:00:00,18.21,0.11514078527291223,6819.735302209004,415.0462517614823,14377.727546785598
2025-05-31 17:00:00,18.21,0.0,6819.735302209004,415.0462517614823,14377.727546785598
2025-05-31 18:00:00,18.22,0.1151091575412603,6781.376114034457,417.1521639009126,14381.888540309084
2025-05-31 19:00:00,18.2,0.23006035865951735,6858.105024281763,412.9386042185039,14373.587621058534
2025-05-31 20:00:00,18.19,0.1151091575293584,6896.485288935722,410.82921888719807,14369.468780493855
2025-05-31 21:00:00,18.18,0.1151407852610912,6934.876104865819,408.7180933781938,14365.371042481383
2025-05-31 22:00:00,18.21,0.3457072924790506,6819.735302209004,415.0462517614823,14377.727546785598
2025-05-31 23:00:00,18.2,0.11507755584662287,6858.105024281763,412.9386042185039,14373.587621058534
2025-06-01 00:00:00,18.19,0.1151091575293584,6896.485288935722,410.82921888719807,14369.468780493855
2025-06-01 01:00:00,18.21,0.230376505922149,6819.735302209004,415.0462517614823,14377.727546785598
2025-06-01 02:00:00,18.21,0.0,6819.735302209004,415.0462517614823,14377.727546785598
2025-06-01 03:00:00,18.2,0.11507755584662287,6858.105024281763,412.9386042185039,14373.587621058534
2025-06-01 04:00:00,18.2,0.0,6858.105024281763,412.9386042185039,14373.587621058534
2025-06-01 05:00:00,18.21,0.11514078527291223,6819.735302209004,415.0462517614823,14377.727546785598
2025-06-01 06:00:00,18.21,0.0,6819.735302209004,415.0462517614823,14377.727546785598
2025-06-01 07:00:00,18.23,0.23024989076404753,6743.027451087033,419.2563430169961,14386.070584286872
2025-06-01 08:00:00,18.22,0.11501443048512179,6781.376114034457,417.1521639009126,14381.888540309084
2025-06-01 09:00:00,18.24,0.23018666142108946,6704.689304707591,421.35879148536236,14390.273661400599
2025-06-01 10:00:00,18.27,0.34513775918663353,6589.737878563223,427.6557766921975,14403.00891872967
2025-06-01 11:00:00,18.28,0.11491993693016178,6551.441712100895,429.7513262350524,14407.295955677651
2025-06-01 12:00:00,18.27,0.11485707044387614,6589.737878563223,427.6557766921975,14403.00891872967
2025-06-01 13:00:00,18.24,0.34457103051801835,6704.689304707591,421.35879148536236,14390.273661400599
2025-06-01 14:00:00,18.2,0.45974222477047283,6858.105024281763,412.9386042185039,14373.587621058534
2025-06-01 15:00:00,18.21,0.11514078527291223,6819.735302209004,415.0462517614823,14377.727546785598
2025-06-01 16:00:00,18.21,0.0,6819.735302209004,415.0462517614823,14377.727546785598
2025-06-01 17:00:00,18.21,0.0,6819.735302209004,415.0462517614823,14377.727546785598
2025-06-01 18:00:00,18.21,0.0,6819.735302209004,415.0462517614823,14377.727546785598
2025-06-01 19:00:00,18.21,0.0,6819.735302209004,415.0462517614823,14377.727546785598
2025-06-01 20:00:00,18.21,0.0,6819.735302209004,415.0462517614823,14377.727546785598
2025-06-01 21:00:00,18.19,0.23012348394969195,6896.485288935722,410.82921888719807,14369.468780493855
2025-06-01 22:00:00,18.19,0.0,6896.485288935722,410.82921888719807,14369.468780493855
2025-06-01 23:00:00,18.19,0.0,6896.485288935722,410.82921888719807,14369.468780493855
