timestamp,price,pool_price,fee_zar,lp_zar,lp_usdc,lp_value_zar
2025-06-24 20:00:00,17.88,17.880030166674512,1.7475963090467028,1035814.3623341812,57931.3542918273,2071626.9770720534
2025-06-24 21:00:00,17.91,17.91004510889878,2.6110322560599855,1036684.7064195345,57882.864064057976,2073366.8018068129
2025-06-24 22:00:00,17.9,17.899984889117327,-0.8749065541457002,1036393.070901486,57899.103117767605,2072787.016709526
2025-06-24 23:00:00,17.9,17.90000002273453,0.0013163084796664409,1036393.5096709792,57899.07867903189,2072787.01802565
2025-06-25 00:00:00,17.89,17.889984956932263,-0.871223155512552,1036103.101952475,57915.25842233821,2072207.0751281055
2025-06-25 01:00:00,17.9,17.900015069876098,0.8725315755777997,1036393.945811001,57899.05437315226,2072787.0190904264
2025-06-25 02:00:00,17.91,17.910015024556934,0.8696651158090951,1036683.8341829374,57882.9125917265,2073366.798700759
2025-06-25 03:00:00,17.9,17.899984934366948,-0.8722866402005771,1036393.0719695372,57899.10303107137,2072787.0162257147
2025-06-25 04:00:00,17.9,17.900000022666454,0.0013123667853115614,1036393.5094251323,57899.07866551763,2072787.017537898
2025-06-25 05:00:00,17.91,17.910015047201984,0.8709758765295609,1036683.8347173089,57882.91254837701,2073366.798458741
2025-06-25 06:00:00,17.91,17.909999977361288,-0.0013103952750221732,1036683.3979188838,57882.93686372301,2073366.797148163
2025-06-25 07:00:00,17.86,17.859924826932964,-4.357324392055586,1035230.9564548653,57963.90334710287,2070466.2702341224
2025-06-25 08:00:00,17.87,17.870015160371477,0.8785065493715503,1035523.7919713225,57947.56091017196,2071046.7054360956
2025-06-25 09:00:00,17.9,17.900045131505447,2.6130692911561564,1036394.8150683745,57899.00569827282,2072787.017067458
2025-06-25 10:00:00,17.9,17.899999932099078,-0.003931400609233509,1036393.5046015048,57899.07868898914,2072787.0131344101
2025-06-25 11:00:00,17.91,17.910015047338284,0.8709837639985285,1036683.8325228376,57882.912425408904,2073366.794061911
2025-06-25 12:00:00,17.94,17.94004513163346,2.610166330133829,1037553.8879662155,57834.51938683864,2075105.1657661009
2025-06-25 13:00:00,17.9,17.899939785215906,-3.4863863657682868,1036391.7591776261,57899.17572983195,2072787.004741618
2025-06-25 14:00:00,17.9,17.90000009059403,0.005245311083781197,1036393.507614654,57899.07834465604,2072787.0099839969
2025-06-25 15:00:00,17.92,17.920030098534852,1.7417046838776753,1036974.0758426132,57866.75971751837,2073946.4099805425
2025-06-25 16:00:00,17.92,17.919999954716367,-0.002620419381100427,1036973.2023694862,57866.80831416883,2073946.407359392
2025-06-25 17:00:00,17.89,17.88995488356806,-2.612931995837923,1036102.2250375402,57915.30676185221,2072207.0630070763
2025-06-25 18:00:00,17.89,17.890000067878326,0.003931189090183514,1036103.5354339036,57915.233734081296,2072207.066936618
2025-06-25 19:00:00,17.9,17.900015047135117,0.8712148908477833,1036393.9403975195,57899.05414428093,2072787.0095801482
2025-06-25 20:00:00,17.91,17.91001502459116,0.8696670927836653,1036683.8294284474,57882.91232615045,2073366.789189802
2025-06-25 21:00:00,17.91,17.9099999773953,-0.0013084261915894035,1036683.3932863836,57882.936604958675,2073366.7878811934
2025-06-25 22:00:00,17.91,17.910000000034014,1.968545376798633e-06,1036683.3939425654,57882.93656843086,2073366.787883162
2025-06-25 23:00:00,17.88,17.8799548835105,-2.6136648163297274,1035812.1723371221,57931.47572717776,2071626.9583390607
2025-06-26 00:00:00,17.86,17.85996998598884,-1.7397270392118127,1035232.2633240515,57963.82995806779,2070466.2663751421
2025-06-26 01:00:00,17.84,17.83996996328905,-1.7420169897481412,1034651.5909941355,57996.26306116173,2069304.9240052607
2025-06-26 02:00:00,17.85,17.850015092446483,0.8750595416494905,1034943.2775080187,57979.96652372419,2069885.6799564958
