timestamp,price_zar,volume
2025-05-24 01:00:00,17.840898788637954,271138629573.04352
2025-05-25 01:00:00,17.841564586015913,76331458474.44724
2025-05-26 01:00:00,17.82570528668008,68493937871.2659
2025-05-27 01:00:00,17.84222863151237,137089643455.03108
2025-05-28 01:00:00,17.951972899710913,184457902312.7884
2025-05-29 01:00:00,17.96901620624355,157902213584.75906
2025-05-30 01:00:00,17.788662276685187,180129242739.52844
2025-05-31 01:00:00,17.99161041975293,198713223828.70566
2025-06-01 01:00:00,17.98988021157662,112138798353.55716
2025-06-02 01:00:00,17.96504238628002,57526205165.28767
2025-06-03 01:00:00,17.841893665511975,99164697932.04893
2025-06-04 01:00:00,17.85286966338916,82194544891.65541
2025-06-05 01:00:00,17.822501645833025,124133667550.55252
2025-06-06 01:00:00,17.70639221378196,209711696725.61362
2025-06-07 01:00:00,17.778682929056565,161253995023.81345
2025-06-08 01:00:00,17.778634121435935,83819210227.48682
2025-06-09 01:00:00,17.772604631020638,77699843898.96817
2025-06-10 01:00:00,17.718139003804506,163027785872.24768
2025-06-11 01:00:00,17.702067589274932,198161645384.61658
2025-06-12 01:00:00,17.692290792477475,206079359273.74295
2025-06-13 01:00:00,17.772254879269184,95637726681.45224
2025-06-14 01:00:00,17.941942391647455,133209631938.42393
2025-06-15 01:00:00,17.941682813098485,60310856650.05964
2025-06-16 01:00:00,17.94255242379774,101065046810.38539
2025-06-17 01:00:00,17.79792812436388,107859290485.29317
2025-06-18 01:00:00,18.00961834319761,102663934899.80392
2025-06-19 01:00:00,18.021815324208195,171118739082.27045
2025-06-20 01:00:00,18.057363380069827,122129011374.75502
2025-06-21 01:00:00,17.99577305168168,88636931280.05595
2025-06-22 01:00:00,17.995838864706343,92508539508.5771
2025-06-23 01:00:00,18.069726051987526,131692025062.09935
2025-06-24 01:00:00,17.81875076966009,123278455499.00543
2025-06-25 01:00:00,17.734742646679514,217641449557.1679
2025-06-26 01:00:00,17.710758403613145,167917187856.20084
2025-06-27 01:00:00,17.86664647528078,163421074858.4932
2025-06-28 01:00:00,17.87402562273042,53914895915.14834
2025-06-29 01:00:00,17.874765308983527,58324370238.9002
2025-06-30 01:00:00,17.77543259091361,42500602381.15879
2025-07-01 01:00:00,17.718396997054576,63771171665.08683
2025-07-02 01:00:00,17.60383941344959,124421232388.49675
2025-07-03 01:00:00,17.56133739334844,92992928397.60373
2025-07-04 01:00:00,17.513288037487953,86078361417.84512
2025-07-05 01:00:00,17.611565669424486,57621162823.90608
2025-07-06 01:00:00,17.61273979016399,50644266516.571915
2025-07-07 01:00:00,17.6022801261623,80479514856.79321
2025-07-08 01:00:00,17.860482648884215,70197865259.14888
2025-07-09 01:00:00,17.78555681963339,135796289511.0768
2025-07-10 01:00:00,17.819492551547686,187517145317.65503
2025-07-11 01:00:00,17.732462509392537,169245834329.2784
2025-07-12 01:00:00,17.9214016284208,322707224468.8084
2025-07-13 01:00:00,17.919996808437404,144458004265.05103
2025-07-14 01:00:00,17.9411442463504,132298425071.08128
2025-07-15 01:00:00,17.91744860076366,300396438719.4783
2025-07-16 01:00:00,17.90204427123716,302759808885.55585
2025-07-17 01:00:00,17.834844843783824,289709863307.0509
2025-07-18 01:00:00,17.815006203988563,237250016391.64883
2025-07-19 01:00:00,17.70737722886288,491316128195.85724
2025-07-20 01:00:00,17.70859304643684,146649085496.21323
2025-07-21 01:00:00,17.71351406115025,229052865702.5731
2025-07-22 01:00:00,17.610984381266448,300436022602.05743
2025-07-23 01:00:00,17.564357740434108,209700119178.77316
2025-07-24 01:00:00,17.521469129569287,178305055406.53204
2025-07-25 01:00:00,17.624090955536108,171597235601.70355
2025-07-26 01:00:00,17.761964413592274,292110904627.23627
2025-07-27 01:00:00,17.761978195948757,98569540774.3915
2025-07-28 01:00:00,17.749157199091297,171375328590.25708
2025-07-29 01:00:00,17.899838186137213,262589879602.25848
2025-07-30 01:00:00,17.88072119870082,258225157954.04016
2025-07-31 01:00:00,17.984904363637494,253378907731.75244
2025-08-01 01:00:00,18.21349569540479,144224709883.8401
2025-08-02 01:00:00,18.116080513899046,351329043197.2116
2025-08-03 01:00:00,18.115446870701522,178887044191.09857
2025-08-04 01:00:00,18.02155095447591,70863763510.87766
2025-08-05 01:00:00,17.92916314080261,112166022456.06126
2025-08-06 01:00:00,17.908763355601323,222670831231.31815
2025-08-07 01:00:00,17.779832630163913,119839194064.61174
2025-08-08 01:00:00,17.70199279184056,218040415866.76654
2025-08-09 01:00:00,17.751374505419108,133331848836.33858
2025-08-10 01:00:00,17.75259522802118,192393007055.1842
2025-08-11 01:00:00,17.74204310817054,205265777964.56247
2025-08-12 01:00:00,17.75825273556151,334320967269.05664
2025-08-13 01:00:00,17.576415168037066,373597149425.569
2025-08-14 01:00:00,17.496829574046604,426098532596.0969
2025-08-15 01:00:00,17.58449991281169,228483751947.62042
2025-08-16 01:00:00,17.59184045247929,185432976413.66733
2025-08-17 01:00:00,17.593538996091862,76844592868.9454
2025-08-18 01:00:00,17.6023468683689,85433584151.92442
2025-08-19 01:00:00,17.624598185824098,319877317024.8145
2025-08-20 01:00:00,17.702301072353247,151521908768.618
2025-08-21 01:00:00,17.684423998047134,330461862333.14435
2025-08-22 00:35:32,17.71717437152074,147615337494.28287
