timestamp,price,pool_price,fee_zar,pool_zar,pool_usdc,pool_value_zar
2025-06-01 17:00:00,18.21,18.21000000000008,4.60192236174293e-09,1045284.1389389015,57401.65507627111,2090568.2778777985
2025-06-01 18:00:00,18.21,18.210000000000004,-8.851104900807368e-13,1045284.1389388993,57401.65507627123,2090568.2778777983
2025-06-01 19:00:00,18.21,18.210000000000004,0.0,1045284.1389388993,57401.65507627123,2090568.2778777983
2025-06-01 20:00:00,18.21,18.210000000000004,0.0,1045284.1389388993,57401.65507627123,2090568.2778777983
2025-06-01 21:00:00,18.19,18.189995999498702,-0.22976160369317408,1044709.7349296664,57433.20311661737,2089419.6996209365
2025-06-01 22:00:00,18.19,18.190000000800424,4.597070651883934e-05,1044709.8498564326,57433.19680101494,2089419.6996668945
2025-06-01 23:00:00,18.19,18.18999999999984,-9.197835289105839e-09,1044709.849833438,57433.19680227857,2089419.6996668854
2025-06-02 00:00:00,18.18,18.17999799947474,-0.1149281562311484,1044422.5294428602,57448.99033943985,2088845.1738138767
2025-06-02 01:00:00,18.18,18.180000000400263,2.2994828553555034e-05,1044422.5869299315,57448.98717859938,2088845.1738368683
2025-06-02 02:00:00,18.21,18.21000600487508,0.3446897111038173,1045284.3112076911,57401.64560779681,2090568.277725671
2025-06-02 03:00:00,18.24,18.240006003668636,0.34433699477686264,1046145.1536946333,57354.43033758984,2092289.9630522719
2025-06-02 04:00:00,18.19,18.189990001664064,-0.5742365534431959,1044709.5623110253,57433.21256446281,2089419.6988586038
2025-06-02 05:00:00,18.15,18.14999200320161,-0.45978751245882554,1043560.0935298783,57496.44921858903,2087120.646847269
2025-06-02 06:00:00,18.09,18.08998800673319,-0.6907127232700004,1041833.3117217033,57591.708260609536,2083667.3141561297
2025-06-02 07:00:00,18.08,18.079998001875214,-0.11510720120008928,1041545.5437187031,57607.61387311418,2083091.2025446072
2025-06-02 08:00:00,18.1,18.100004003106672,0.23048196697463036,1042121.7486361397,57575.77448365594,2084243.2667903122
2025-06-02 09:00:00,18.12,18.12000400190406,0.23028555670634798,1042697.4625279056,57543.997364368035,2085394.6947702544
2025-06-02 10:00:00,18.13,18.130002000275372,0.11507210495751113,1042985.1427902994,57528.13169984525,2085970.1705084937
2025-06-02 11:00:00,18.13,18.129999999599786,-2.302363107376704e-05,1042985.0852312217,57528.134873372604,2085970.170485467
2025-06-02 12:00:00,18.09,18.089992001218018,-0.46066346743908826,1041833.426562624,57591.70189198958,2083667.3137887155
2025-06-02 13:00:00,18.08,18.079998001076216,-0.1151532294295196,1041545.5434890502,57607.61386295795,2083091.20213133
2025-06-02 14:00:00,18.04,18.039992001629674,-0.4612775490944497,1040392.3496163142,57671.441845557834,2080785.1605101775
2025-06-02 15:00:00,18.05,18.050002002678276,0.11546531985701136,1040681.0129159567,57655.45138230674,2081361.9103665934
2025-06-02 16:00:00,18.06,18.06000200067656,0.11531797667014779,1040969.307857632,57639.49017384581,2081938.5003972873
2025-06-02 17:00:00,18.03,18.02999399969384,-0.3461422200927104,1040103.9523074003,57687.426425381054,2080208.250757021
